Discovery Date, File Name, IP Address, Country Code, ASN, ASN Name, MD5
2012-12-27,82.48.139.108/newbos2.exe,82{.}48{.}139{.}108,IT,3269,ASN-IBSNAZ Telecom Italia S.p.a.,caac144b7b301c620d7be3c6526a5ad0
2012-12-27,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia09.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,fc531874e4a68a1d88e8e6bf483b1c42
2012-12-27,ld.download-guru.com/index.html?s=So:p%2Fo:p%2Fspan=3D,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,799ea0a73f899ce7466b0873400a6391
2012-12-27,aigen.com.br/itzpFNPM/i9qC.exe,186{.}202{.}153{.}10,BR,27715,LocaWeb Ltda,bf8b0bc0c8e1db52d94719fb01db1765
2012-12-27,veekee.free.fr/petzouille/toutfr-lite.exe,212{.}27{.}63{.}113,FR,12322,PROXAD Free SAS,4c03cd5ba13b24637e70adf2912d3274
2012-12-27,,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,4cbda1aec249091619be955840287b54
2012-12-27,atkoskih.ru/newbos2.exe,77{.}88{.}148{.}160,PL,43939,INTERNETIA_ETTH2-AS Internetia Sp.z o.o.,b1c3b3b851c5258667496d8b9123f21a
2012-12-27,wt4.97sky.cn/readink.exe,221{.}209{.}235{.}5,CN,4837,CHINA169-BACKBONE CNCGROUP China169 Backbone,67fd0c68ee28f284ec1118ebe9a10428
2012-12-27,ld2.download-guru.com/index.php?s=K-LiteCodecPackStandard,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,bd4cbf11f33381f20dde3bf84f2dae3b
2012-12-27,carlahahn.de/jqYnYs8B.exe,82{.}165{.}87{.}2,DE,8560,ONEANDONE-AS 1&1 Internet AG,433874250019e295b245191e55ffdf28
2012-12-27,,62{.}149{.}131{.}226,IT,31034,ARUBA-ASN Aruba S.p.A.,babf998e0309944e909c16c8023c8c5d
2012-12-27,,79{.}172{.}252{.}64,HU,29278,DENINET-HU-AS Deninet KFT,7cd89b2a99772045212a24be39d5d2d0
2012-12-27,marketing-mt.de/r4v.exe,88{.}84{.}137{.}154,DE,24989,IXEUROPE-DE-FRANKFURT-ASN Equinix Germany (Previously IX Europe Germany AS),2e0d973f414015668f38646ce9b68850
2012-12-27,cesivpil.ru/newbos1.exe?abawai,46{.}250{.}113{.}121,UA,39608,LANETUA-AS Lanet Network Ltd.,2e599b7f2024b15d5576fd6911f42714
2012-12-27,cesivpil.ru/newbos2.exe?spafo,46{.}250{.}113{.}121,UA,39608,LANETUA-AS Lanet Network Ltd.,b1c3b3b851c5258667496d8b9123f21a
